,Effectiveness,HP_diff,Attack_diff,Defense_diff,Sp.Atk_diff,Sp.Def_diff,Speed_diff,F_Legendary,S_Legendary,First Won
0,1.0,-20,-6,10,-15,10,-19,0,0,0
1,2.0,0,-39,-18,18,39,0,1,1,0
2,1.0,-20,-35,10,-45,10,0,0,0,0
3,0.5,-37,-80,-50,10,-50,-28,0,0,0
4,2.0,50,50,-105,105,-160,50,0,0,1
5,0.5,-10,-3,-100,7,-100,5,0,0,1
6,1.0,-25,0,10,-45,-50,-25,0,0,0
7,0.0,-80,-20,-70,-65,-85,-55,0,1,0
8,1.0,0,12,28,-23,-28,-29,0,0,0
9,1.0,5,-25,-10,5,-20,-5,0,0,0
10,1.0,10,10,-25,-40,-25,-25,0,0,0
11,1.0,53,99,5,17,25,78,1,0,1
12,1.0,-50,-90,-35,-60,-65,-30,0,0,0
13,1.0,-25,-15,15,15,-10,25,0,0,1
14,2.0,30,70,100,1,70,5,0,0,1
15,1.0,-27,-32,11,3,12,-21,0,0,0
16,1.0,40,0,5,-30,-5,-55,0,1,0
17,1.0,-55,-60,-20,-20,15,0,0,0,0
18,2.0,20,95,-62,90,-80,62,0,0,1
19,1.0,-21,45,0,1,-25,41,0,0,1
20,1.0,-1,-59,-32,21,6,-20,0,0,0
21,0.5,26,-8,-15,-35,-30,0,0,0,0
22,1.0,-5,-15,-40,-80,-5,-40,0,0,0
23,2.0,35,10,20,-100,-60,20,0,0,1
24,1.0,-10,-40,-10,-5,-10,-73,0,0,0
25,1.0,6,-60,10,-30,54,20,1,1,1
26,1.0,-25,-31,15,14,-5,-44,0,0,0
27,2.0,-4,-11,26,8,0,-26,0,0,0
28,1.0,-5,-20,16,-55,-9,40,0,0,1
29,2.0,-16,61,36,-35,-33,5,0,0,1
30,1.0,-3,65,-40,-35,-50,-42,0,0,0
31,1.0,-5,-50,-10,5,60,-40,0,0,0
32,0.5,-10,-15,-25,35,5,-100,0,0,0
33,1.0,5,25,47,65,32,36,0,0,1
34,0.5,-30,-50,-63,0,-25,38,0,0,0
35,2.0,11,-81,-82,-3,-38,-32,0,0,0
36,1.0,12,45,29,5,29,-12,0,0,0
37,1.0,-22,-20,20,-75,-30,2,0,0,1
38,1.0,33,-30,16,20,51,-45,0,0,0
39,1.0,10,-10,4,-30,4,-23,0,0,0
40,1.0,15,-10,15,-29,-5,-22,0,0,0
41,0.5,44,-11,15,12,35,12,0,0,1
42,2.0,-25,-43,-2,-55,-15,-50,0,0,1
43,2.0,-34,-11,-53,-41,-71,-20,0,0,0
44,1.0,4,-10,-10,5,-20,-29,0,0,0
45,1.0,-35,6,-26,-31,-14,40,0,0,1
46,0.5,-6,14,11,-9,34,-26,0,0,0
47,1.0,-20,64,85,30,60,36,0,0,1
48,1.0,-110,-55,170,-100,135,-60,0,0,0
49,2.0,-31,-10,-40,-67,-30,-68,0,0,0
50,2.0,-15,-33,81,-28,33,-53,0,0,0
51,0.5,46,40,50,4,50,70,1,0,0
52,1.0,-1,78,68,1,1,61,1,0,1
53,1.0,2,-40,-33,35,5,27,0,0,1
54,0.5,-30,25,-10,-60,-40,-20,0,0,0
55,2.0,-12,-36,-27,-20,-25,-6,0,0,0
56,1.0,20,5,-37,-35,-37,-16,0,0,0
57,1.0,-21,-95,-10,-13,-20,-38,0,0,0
58,0.5,7,18,-43,-14,25,17,0,0,1
59,2.0,-21,-10,-3,3,-12,23,0,0,1
60,1.0,-3,-52,2,-12,72,2,0,0,1
61,1.0,-13,29,-15,39,-40,5,0,0,1
62,1.0,49,79,30,7,20,7,0,0,1
63,0.5,-21,-2,12,-30,-6,27,0,0,1
64,1.0,-32,20,-15,-25,-15,16,0,0,1
65,1.0,7,-27,-31,38,35,53,0,0,1
66,1.0,50,100,55,75,30,45,0,0,1
67,0.5,-15,-30,5,-5,-30,15,0,0,1
68,2.0,-11,-47,10,11,10,-28,0,1,0
69,0.5,-9,-70,-16,15,-73,-21,0,0,0
70,0.5,-58,-74,152,-99,145,-95,0,0,0
71,1.0,-9,-16,-23,54,19,70,0,0,1
72,0.5,-26,-10,16,-86,11,-80,0,0,0
73,1.0,-11,13,-45,13,-45,-7,0,0,0
74,1.0,44,68,23,35,15,10,1,0,1
75,2.0,-90,30,34,5,34,10,0,0,1
76,0.5,-50,-15,-10,-25,-35,-40,0,0,0
77,1.0,-5,25,-53,3,-50,35,1,0,1
78,1.0,-54,-26,12,-1,12,37,0,0,1
79,1.0,25,45,10,-50,-30,-10,0,1,0
80,2.0,0,-50,-13,-65,-3,-85,0,0,0
81,1.0,0,-17,15,1,-5,-22,0,0,0
82,1.0,20,7,12,48,8,-10,0,0,0
83,1.0,-5,-35,-57,-40,-57,-41,0,0,0
84,2.0,-50,-52,-32,-35,-15,-21,0,0,0
85,1.0,8,-21,-67,-5,-50,60,0,0,0
86,0.5,-25,-27,-35,-78,-10,-5,0,1,0
87,2.0,-30,-78,-13,-38,57,-51,0,0,0
